9,close
11,close
12,merge
13,merge
14,merge
16,close
18,merge
19,close
24,merge
25,merge
27,merge
33,merge
37,improvement
40,merge
45,improvement
46,close
62,merge
66,close
67,close
75,close
81,close
89,close
92,close
94,merge
95,merge
96,merge
99,close
102,merge
103,merge
110,merge
111,improvement
112,merge
115,close
116,merge
121,merge
125,close
129,close
133,close
140,improvement
145,merge
146,merge
153,merge
154,merge
157,close
160,close
163,merge
165,close
167,merge
168,merge
170,merge
172,merge
173,merge
174,improvement
187,improvement
189,merge
193,merge
196,close
197,merge
198,improvement
199,merge
209,close
211,merge
212,close
213,close
214,close
235,close
238,close
239,close
245,close
248,close
257,merge
264,close
268,merge
274,improvement
275,merge
276,merge
277,merge
278,merge
279,merge
282,merge
283,merge
284,merge
285,merge
288,merge
289,close
290,merge
292,close
296,close
309,close
318,close
319,improvement
320,close
323,close
328,improvement
330,merge
331,improvement
336,close
341,merge
342,close
350,close
351,close
358,close
362,close
363,close
364,merge
365,merge
366,close
367,close
369,close
370,merge
374,close
376,close
378,close
381,merge
382,close
387,close
393,close
400,merge
402,improvement
406,close
409,merge
411,improvement
421,improvement
422,close
425,merge
429,close
442,merge
444,merge
446,merge
447,improvement
452,close
453,close
460,improvement
461,close
462,merge
463,close
465,close
468,merge
478,close
482,close
486,close
487,merge
489,merge
491,close
498,merge
499,close
502,merge
509,merge
510,close
511,improvement
512,improvement
513,merge
515,merge
517,close
523,improvement
524,merge
527,improvement
528,improvement
529,close
532,close
534,close
535,improvement
536,merge
537,merge
540,merge
541,merge
542,merge
543,merge
549,merge
551,merge
554,improvement
555,improvement
557,close
558,improvement
563,improvement
564,improvement
570,close
571,merge
574,improvement
575,improvement
576,merge
577,merge
578,improvement
581,improvement
587,merge
597,close
598,improvement
608,close
609,close
610,improvement
611,close
612,merge
613,merge
614,merge
615,improvement
620,improvement
622,merge
626,merge
629,improvement
630,close
631,improvement
641,improvement
646,merge
651,merge
658,merge
666,merge
667,merge
668,merge
669,merge
671,merge
675,merge
680,improvement
681,improvement
685,merge
691,close
694,improvement
709,close
710,improvement
715,merge
717,merge
718,merge
719,merge
722,improvement
727,merge
730,close
733,improvement
735,merge
736,improvement
737,merge
741,merge
743,merge
747,improvement
748,merge
749,close
750,merge
752,improvement
753,merge
754,merge
755,merge
756,merge
760,improvement
761,improvement
762,merge
770,improvement
774,merge
777,close
778,merge
780,improvement
782,improvement
783,improvement
787,close
792,merge
795,close
797,merge
798,merge
800,close
804,close
810,close
813,close
814,close
815,merge
819,improvement
822,improvement
826,merge
828,merge
832,close
833,merge
834,merge
835,improvement
836,close
838,merge
839,merge
841,merge
842,improvement
854,merge
859,merge
860,merge
865,improvement
869,improvement
871,merge
873,merge
874,merge
886,improvement
889,close
890,improvement
892,improvement
893,merge
897,close
898,merge
900,merge
902,improvement
903,merge
904,merge
905,merge
910,close
911,improvement
912,improvement
913,improvement
917,merge
927,merge
938,merge
945,merge
946,improvement
948,merge
949,improvement
950,merge
951,merge
955,merge
961,merge
967,merge
970,close
971,merge
972,improvement
973,close
974,improvement
975,improvement
977,improvement
985,improvement
993,close
998,improvement
1000,close
1001,close
1002,close
1005,merge
1007,improvement
1008,merge
1015,merge
1018,improvement
1019,merge
1022,close
1028,merge
1037,merge
1040,improvement
1041,merge
1042,close
1044,merge
1045,close
1052,improvement
1054,improvement
1059,merge
1063,merge
1068,improvement
1074,merge
1076,improvement
1077,improvement
1079,merge
1080,merge
1083,improvement
1085,merge
1090,merge
1091,merge
1096,close
1097,close
1099,close
1105,merge
1106,merge
1111,merge
1115,merge
1127,merge
1128,close
1140,merge
1148,close
1151,close
1155,close
1156,close
1158,close
1173,close
1178,improvement
1181,merge
1182,merge
1185,close
1186,close
1188,merge
1189,close
1192,improvement
1202,merge
1203,merge
1204,merge
1205,merge
1206,close
1207,merge
1211,close
1215,close
1218,merge
1221,close
1223,close
1227,merge
1231,close
1237,merge
1240,merge
1249,merge
1251,merge
1253,improvement
1256,improvement
1266,close
1271,improvement
1273,merge
1276,close
1278,improvement
1281,merge
1287,merge
1297,improvement
1299,merge
1300,merge
1301,merge
1302,close
1303,close
1304,merge
1305,merge
1306,close
1307,improvement
1308,merge
1309,merge
1310,merge
1311,merge
1312,merge
1313,close
1314,close
1319,merge
1342,merge
1343,merge
1353,merge
1385,close
1386,merge
1396,merge
1402,improvement
1406,merge
1407,close
1408,improvement
1410,merge
1414,merge
1416,close
1422,merge
1440,close
1447,close
1451,close
1453,merge
1457,merge
1459,improvement
1464,improvement
1467,merge
1476,close
1482,merge
1496,improvement
1502,close
1528,close
1532,merge
1542,close
1554,close
1555,close
1556,merge
1560,merge
1566,merge
1567,improvement
1571,close
1572,close
1574,merge
1575,merge
1578,merge
1579,merge
1580,merge
1581,improvement
1582,improvement
1583,merge
1594,close
1598,merge
1599,merge
1600,merge
1601,merge
1605,close
1608,merge
1609,merge
1610,merge
1611,merge
1612,close
1617,improvement
1618,merge
1619,merge
1621,close
1622,merge
1624,improvement
1626,merge
1627,merge
1631,merge
1632,merge
1633,merge
1637,merge
1638,close
1639,merge
1642,improvement
1646,merge
1647,merge
1648,merge
1652,merge
1653,merge
1661,merge
1663,merge
1666,close
1669,merge
1670,close
1671,merge
1675,merge
1676,merge
1677,merge
1678,merge
1679,merge
1680,merge
1681,merge
1682,merge
1683,merge
1684,merge
1686,improvement
1689,merge
1690,merge
1693,close
1698,merge
1699,merge
1700,merge
1703,merge
1705,improvement
1710,close
1714,merge
1715,merge
1716,close
1726,merge
1727,merge
1728,merge
1730,merge
1731,merge
1732,merge
1735,merge
1741,merge
1742,improvement
1743,merge
1744,close
1748,improvement
1749,improvement
1754,merge
1755,merge
1756,merge
1761,merge
1762,merge
1763,merge
1770,merge
1771,close
1772,merge
1775,merge
1776,merge
1781,close
1797,close
1809,close
1827,improvement
1829,merge
1831,improvement
1834,merge
1836,merge
1838,close
1846,merge
1847,merge
1848,merge
1856,merge
1866,merge
1868,improvement
1869,merge
1880,improvement
1885,close
1888,improvement
1899,close
1902,merge
1905,improvement
1911,improvement
1918,merge
1923,improvement
1927,merge
1930,close
1934,improvement
1939,merge
1943,improvement
1948,merge
1954,improvement
1968,improvement
1983,close
1986,improvement
1988,improvement
1991,merge
1992,improvement
1997,close
2001,close
2003,merge
2006,merge
2007,merge
2008,improvement
2019,merge
2025,merge
2031,merge
2032,improvement
2059,merge
2062,close
2067,close
2069,improvement
2070,merge
2078,improvement
2079,merge
2089,merge
2100,improvement
2102,merge
2107,merge
2118,close